Review,Sentiment
Till now its easy to understand... lets see if it grants success,Positive
This was helpful,Neutral
Not as good as expected . I will not recommend it. It is built mostly on AI automation responses,Positive
"So far it’s good, but I’m ag the first lesson",Positive
Very common things,Negative
A lot of tapping and not a lot of information,Neutral
Eye opening. Love the course very much. Smooth delivery without any distractions.,Positive
There is some really good information for you to begin to grow your socials like other people,Positive
I like the pakage for the reels,Neutral
Still difficult to understand everything and also it doesn’t help anything with my ig growth,Negative
I liked the tapping and how it took me through a journey of knowledge.,Positive
Giving my an understanding on how to make my content better and more accessible to others.,Positive
Good appGood tips and useful andgood,Positive
I have not practiced,Neutral
Good and helpful,Positive
Today is m first da and the first lesson mad me understand how the Instagram algorithm works.,Neutral
It definitely gives great insights and will give the blueprint for success. Take notes.,Positive
Happy for the experience,Positive
"Im always looking to learn about making my writing better, my journey stronger. At times God encourages me to breathe and wait on His plan. That is what I am working on.",Positive
They explained step by step,Neutral
Great and informative material,Positive
gooooooood,Neutral
So far so good,Positive
"Rise Guide was great until part of the process was to purchase SM advertising. At which point I stopped using it.  I had purchased a trail period and they took the yearly subscription without warning. A simple warning to enable people with clear instructions on what happens next and how to cancel would be easy to do and super helpful.I contacted customer services for a full refund which I received promptly, with an apology.  If this review was just for customer services it would be a 5 star review.",Positive
Thank youFor quick response and action,Positive
Valuable and worthwhile,Positive
I would like listening something or someone,Neutral
User friendly,Positive
"Short sharp insights, maybe sometimes too short and sharp to sink in, like the goal setting and journaling, gives time to process and reflect",Neutral
"It’s helping me learn how to start out creating content. I never started in my 20s so I became basically clueless on Editing, creating content and algorithms. This app helps me understand, learn and create.",Neutral
Good everything,Positive
Learnt something new in the first lesson - I had an aaaahhhhaaa moment,Positive
I already feel so much more confident posting to Instagram after only using this lesson for 15 minutes. It truly does prove that anyone can master social media.,Positive
Rapid and precise,Positive
Great explanation,Positive
Yes great job,Positive
Simple and impactful,Neutral
Just started but already learned a few tips!,Negative
Great info provided.,Positive
"Clear, essential, valuable content",Neutral
User friendly,Positive
"Good app that makes you guided and focused on the main subject, train your personality and achieve your goals",Positive
Practical and straightforward strategies to increase your visibility on social media,Positive
User friendly with easy to understand material,Positive
Good foundationap knowledge. Needs more hands on,Positive
"Very adept and punctual, Thankyou!",Positive
"Quick, easy to follow",Positive
She was awesome super helpful prompt and kind.,Positive
Very helpful easy to understand,Positive
"As a social media novice, Riseguide explains each topic in an easy to understand format.",Positive
Rose guide offered thoughts that I have not seen anywhere else.. interesting,Positive
"It’s very useful information, I tink I’m going to use it for my reels",Positive
"I do like all of the suggestions,  I have done all of these and still have very little reach",Negative
I Just learned the basics of how to get into instagrams algorithm. I can’t wait to see what I learn next.,Neutral
"good app, I started to master talking and became the main guy in the room",Positive
"I've only just begun, but I'm hoping this app will help me make an effective and efficient start to my YouTube business. It seems pretty informative and impactful so far. Thanks.",Positive
Layman terms are good,Positive
"They put me on a subscription with no notice. During the sign-up process, it looked like a one-off £19.99 fee, but I have just been charged £59.99. There was NO mention of this being a subscription.I'm now talking to customer service, and they say they can't find my account.All the content in the app is clearly written by AI.Don't pay for this app. It's a scam, and just spend some time asking ChatGPT how to make good Instagram posts. That's all this is.",Positive
Great company,Positive
Easy to follow bite-sized chunks of information.,Positive
Too early to determine,Neutral
Great idea and concept and helps,Positive
This company is great because they’re very open and honest about the true methods and steps it takes to grow ur audience..,Positive
It’s definitely worth it,Positive
Just started so I can’t really rate it good or bad.  Give me some time to use the app to give a proper review.,Neutral
"Helping me understand my charisma traits and how to project them in the right way while not feeling over confident, intimidating, or arrogant.",Positive
Easy to understand,Positive
It was a good insight but didn't really do anything for me,Positive
If that was it.  I already knew.  I thought it would give more information,Positive
So far I love it I’ve learned new things about instagram I didn’t know where true about the algorithm.,Positive
Very useful information,Positive
Easy to understand,Positive
I understand this was just an overview but I'd like to get into the details,Neutral
I just started using this App I’m sure I’ll have more to say.  As I go along and get more audience on Facebook,Positive
i like how it  explains step by step,Neutral
"It's a good start, and more understandable  and easier to follow",Positive
Rise guide is a terrific learning and trading tool to help with public speaking and presenting yourself as the best version of You.,Positive
I am motívated and at sane time Thinking in creative ways about what i want to do,Positive
I feel like I am paying for things I already know but I only finished one course,Neutral
"Just starting, feels good.",Positive
I’m only at lesson 1 but live how interactive and engaging this is. In such a short time I already learned valuable lessons I feel I can easily integrate into my journey,Positive
I recently joined as I am a new business starting to grow and felt like I didn’t have enough knowledge about how and when to post. As I was seeing some of my videos make while others sank. And now it is all making sense The first 15 mins I learned over a handful of great information. You won’t be let down. I was hesitant but so glad I took the dive. Can’t wait to see what the next four weeks brings.,Positive
quick and straight to the point,Positive
Great app to help to understand the media world.!!!,Positive
"I believe in people even when they don't believe in not only me, but themselves. So, when we elevate our perspectives and knowledge has attained to understanding our authentic selves, matter, time, waves, ect. We then begin to express our deepest emotions and raw energy to whoever seems to like it or destroy it, by means of ignorance or conflict. But, that's how it is. I don't care. It doesn't matter. We are all apart of the universe. We are all unique. We are members of a vast cosmic orchestra in which every living instrument is essential to the complementary and harmonious playing of the whole.",Neutral
"I purchased a 28-day plan on promotion on the 24th of June. The original price was £59.99, but the promotional price was £19.99, which I paid. This plan clearly ends on the 24th of July.Today, however, you attempted to charge me the full £59.99 — seriously? Thankfully, my bank declined the payment.You will not be getting another penny from me. This feels like a scam, and I’m absolutely done with your service.",Positive
Want to grow my online business.  Need to learn how to engage and get customers through Instagram.  I think your program will work if I follow your advise.,Neutral
simple to understand.,Neutral
Very helpful,Positive
"Great, much appreciated",Positive
Easy to follow very informative to think that it could tail it a little bit more to individuals,Positive
So far so good,Positive
Still learning,Neutral
Just finished the first lesson looks promising. I did learn some few pointers that actually make sense. Thank you for creating this app to help us grow.,Neutral
"Good so far, only one module in and have some tips already",Positive
"I've just completed the first section and I have to say I am pleasantly surprised, its informative yet understandable, keeps your interest and makes it engaging, I am keen to carry on and find out what comes next.",Positive
Easy and helpful,Positive
"So far, do good. If I learn something new everying lesson, that’s why I’m here.",Positive
I like the easy way Riseguide teach how to get goals,Positive
More practice and assessments will be helpful,Positive
Doing great,Positive
Straightforward answers and tips,Positive
"I had told myself that I was doing everything I should be,but I wasn’t. Thank you for your support",Neutral
Very helpful and easy to understand,Positive
So far so good. I will review again once I see some growth.,Positive
"As a busy mom, I love the quick, easy lessons! I'm learning so much, even in just 10 minutes a day.",Positive
"Very easy to use, follow and understand. First impressions after lesson 1 are excellent 😊",Positive
How to capture your audience,Neutral
Seems great so far. Insightful lessons delivered in a digestible format; I’m looking forward to continuing my journey!,Positive
Straightforward and concise,Positive
"Once I realized how to move the lesson on, I b found this first lesson insightful and has b encouraged me to post more interactive content in my posts.",Positive
Excellent and quick customer service! Rose did everything seamlessly to assist me with my request. Thank you!,Positive
its great and very easy to understand.,Positive
Easy to sign up but yet to find out if it works,Positive
Ottima experience,Neutral
Hannah done much yet,Positive
"Absolute scam. I wish I had read the reviews before purchasing. What I received was not what was marketed and did not help me at all. The companies customer service was really unhelpful, there is no money back guarantee like it says",Positive
It was good! Good info and i like that it's straight to the point.,Positive
So far so good … just getting started but I love the tips,Positive
How simple it was,Neutral
